bhk,type,area,region,status,age, Final_price , Price_per_sqft 
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
1,2,650,1,1,2,"20,00,000.00","3,076.92"
1,2,651,1,1,2,"20,00,000.00","3,072.20"
2,2,950,37,1,2,"77,50,000.00","8,157.89"
2,2,830,85,1,2,"73,00,000.00","8,795.18"
1,2,485,4,1,2,"18,95,000.00","3,907.22"
1,2,535,4,2,2,"27,90,000.00","5,214.95"
1,2,685,15,2,2,"36,37,000.00","5,309.49"
2,2,1100,15,2,2,"65,00,000.00","5,909.09"
3,2,1620,37,2,2,"67,00,000.00","4,135.80"
1,2,590,37,1,2,"28,75,000.00","4,872.88"
1,2,524,31,2,2,"16,50,000.00","3,148.85"
4,3,6000,3,1,2,"6,50,00,000.00","10,833.33"
1,2,524,31,2,2,"16,50,000.00","3,148.85"
3,2,1620,37,2,2,"67,00,000.00","4,135.80"
1,2,590,37,1,2,"28,75,000.00","4,872.88"
2,2,1270,26,1,2,"49,00,000.00","3,858.27"
1,2,600,17,2,2,"65,00,000.00","10,833.33"
1,2,685,53,2,2,"45,00,000.00","6,569.34"
2,2,560,19,2,1,"99,00,000.00","17,678.57"
2,2,575,19,2,1,"1,01,00,000.00","17,565.22"
2,2,585,30,2,1,"1,37,00,000.00","23,418.80"
2,2,600,30,2,1,"1,42,00,000.00","23,666.67"
3,2,950,35,2,1,"2,85,00,000.00","30,000.00"
2,2,633,35,2,1,"1,89,00,000.00","29,857.82"
2,2,643,52,2,1,"1,60,00,000.00","24,883.36"
2,2,644,52,2,1,"1,61,00,000.00","25,000.00"
1,2,340,33,1,1,"24,58,000.00","7,229.41"
1,2,447,33,1,1,"32,32,000.00","7,230.43"
3,2,928,33,2,1,"61,00,000.00","6,573.28"
1,2,375,33,2,1,"24,50,000.00","6,533.33"
2,2,595,33,2,1,"39,00,000.00","6,554.62"
2,2,626,41,2,1,"1,53,00,000.00","24,440.89"
2,2,626,41,2,1,"1,53,00,000.00","24,440.89"
2,2,706,41,2,1,"1,72,00,000.00","24,362.61"
1,2,448,41,2,1,"1,09,00,000.00","24,330.36"
2,2,678,41,2,1,"1,66,00,000.00","24,483.78"
3,2,1380,35,1,2,"3,70,00,000.00","26,811.59"
1,2,660,5,2,1,"52,00,000.00","7,878.79"
1,2,600,27,1,1,"34,85,000.00","5,808.33"
1,2,615,27,1,1,"34,31,000.00","5,578.86"
1,2,395,41,2,1,"83,00,000.00","21,012.66"
1,2,600,27,1,1,"34,50,000.00","5,750.00"
1,1,425,27,1,1,"22,45,000.00","5,282.35"
4,2,2500,83,1,2,"5,00,00,000.00","20,000.00"
3,2,1106,44,2,1,"2,60,00,000.00","23,508.14"
2,2,624,44,1,1,"1,15,00,000.00","18,429.49"
1,2,750,5,1,2,"80,00,000.00","10,666.67"
3,2,1023,41,2,1,"2,60,00,000.00","25,415.44"
